RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD,RESET POINTS
1,1,Jordan Spieth,21,"4,169",4,14,0,NA
2,2,Jason Day,16,"2,459",3,8,"1,710",NA
3,3,Bubba Watson,15,"2,407",2,7,"1,762",NA
4,4,Jimmy Walker,20,"2,014",2,6,"2,155",NA
5,5,Justin Rose,16,"1,742",1,7,"2,427",NA
6,6,Robert Streb,26,"1,720",1,9,"2,449",NA
7,7,Dustin Johnson,17,"1,718",1,8,"2,451",NA
8,8,Patrick Reed,23,"1,593",1,3,"2,576",NA
9,9,Rory McIlroy,9,"1,567",2,6,"2,602",NA
10,10,Danny Lee,32,"1,561",1,7,"2,608",NA
11,11,Zach Johnson,21,"1,559",1,8,"2,610",NA
12,12,Brooks Koepka,19,"1,544",1,8,"2,625",NA
13,13,Brandt Snedeker,23,"1,537",1,8,"2,632",NA
14,14,Charley Hoffman,24,"1,512",1,6,"2,657",NA
15,15,Rickie Fowler,17,"1,498",1,5,"2,671",NA
16,16,J.B. Holmes,21,"1,484",1,5,"2,685",NA
17,17,Kevin Kisner,26,"1,416",0,6,"2,753",NA
18,18,Jim Furyk,16,"1,401",1,6,"2,768",NA
19,19,Paul Casey,20,"1,389",0,7,"2,780",NA
20,20,Hideki Matsuyama,21,"1,374",0,8,"2,795",NA
21,21,David Lingmerth,25,"1,305",1,4,"2,864",NA
22,22,Steven Bowditch,28,"1,287",1,2,"2,882",NA
23,23,Bill Haas,21,"1,281",1,5,"2,888",NA
24,24,Ben Martin,24,"1,217",1,5,"2,952",NA
25,25,Ryan Moore,21,"1,208",1,4,"2,961",NA
26,26,Matt Kuchar,21,"1,164",0,5,"3,005",NA
27,27,Scott Piercy,24,"1,127",1,4,"3,042",NA
28,28,Louis Oosthuizen,17,"1,088",0,6,"3,081",NA
29,29,Chris Kirk,18,"1,087",1,3,"3,082",NA
30,30,Kevin Na,23,"1,062",0,6,"3,107",NA
31,31,Sergio Garcia,14,"1,051",0,4,"3,118",NA
32,32,Gary Woodland,21,"1,037",0,4,"3,132",NA
33,33,Jason Bohn,24,"1,037",0,5,"3,132",NA
34,34,Sangmoon Bae,26,"1,025",1,4,"3,144",NA
35,35,James Hahn,25,"1,012",1,2,"3,157",NA
36,36,Justin Thomas,27,"1,007",0,7,"3,162",NA
37,37,Shawn Stefani,23,987,0,3,"3,182",NA
38,38,Russell Henley,21,986,0,4,"3,183",NA
39,39,Tony Finau,28,985,0,5,"3,184",NA
40,40,Webb Simpson,19,953,0,5,"3,216",NA
41,41,Henrik Stenson,12,952,0,4,"3,217",NA
42,42,Harris English,25,932,0,3,"3,237",NA
43,43,Troy Merritt,26,930,1,3,"3,239",NA
44,44,Russell Knox,25,914,0,3,"3,255",NA
45,45,Billy Horschel,25,903,0,2,"3,266",NA
46,46,Daniel Berger,27,899,0,5,"3,270",NA
47,47,Brendan Steele,21,895,0,4,"3,274",NA
48,48,Brendon de Jonge,28,892,0,3,"3,277",NA
49,49,David Hearn,27,890,0,4,"3,279",NA
50,50,Marc Leishman,21,854,0,4,"3,315",NA
51,51,Phil Mickelson,16,849,0,3,"3,320",NA
52,52,Nick Watney,25,847,0,3,"3,322",NA
53,53,Brendon Todd,24,831,0,4,"3,338",NA
54,54,Pat Perez,23,825,0,2,"3,344",NA
55,55,Matt Jones,22,821,0,3,"3,348",NA
56,56,Ryan Palmer,19,817,0,4,"3,352",NA
57,57,Cameron Tringale,25,816,0,2,"3,353",NA
58,58,Fabián Gómez,23,797,1,2,"3,372",NA
59,59,Ian Poulter,16,777,0,4,"3,392",NA
60,60,Boo Weekley,22,776,0,6,"3,393",NA
61,61,Kevin Streelman,25,771,0,2,"3,398",NA
62,62,Keegan Bradley,21,759,0,3,"3,410",NA
63,63,Alex Cejka,28,739,1,1,"3,430",NA
64,64,Matt Every,24,727,1,1,"3,442",NA
65,65,Carl Pettersson,30,723,0,3,"3,446",NA
66,66,Daniel Summerhays,26,720,0,3,"3,449",NA
67,67,Sean O'Hair,23,719,0,2,"3,450",NA
68,68,George McNeill,24,715,0,1,"3,454",NA
69,69,Brian Harman,26,704,0,3,"3,465",NA
70,70,Charles Howell III,28,692,0,3,"3,477",NA
71,71,Scott Brown,28,690,0,3,"3,479",NA
72,72,Rory Sabbatini,22,678,0,4,"3,491",NA
73,73,Chad Campbell,28,670,0,2,"3,499",NA
74,74,William McGirt,27,652,0,1,"3,517",NA
75,75,Will Wilcox,16,649,0,4,"3,520",NA
76,76,Davis Love III,16,649,1,2,"3,520",NA
77,77,Hunter Mahan,21,648,0,3,"3,521",NA
78,78,Scott Pinckney,25,645,0,3,"3,524",NA
79,79,Jerry Kelly,21,632,0,3,"3,537",NA
80,80,Colt Knost,27,628,0,4,"3,541",NA
81,81,Martin Laird,22,628,0,3,"3,541",NA
82,82,Morgan Hoffmann,24,627,0,2,"3,542",NA
83,83,Chesson Hadley,28,626,0,3,"3,543",NA
84,84,Kyle Reifers,29,626,0,2,"3,543",NA
85,85,J.J. Henry,28,620,1,1,"3,549",NA
86,86,Jason Kokrak,26,614,0,2,"3,555",NA
87,87,Padraig Harrington,20,610,1,1,"3,559",NA
88,88,John Senden,22,610,0,3,"3,559",NA
89,89,Jim Herman,25,610,0,2,"3,559",NA
90,90,Greg Owen,18,608,0,2,"3,561",NA
91,91,Kevin Chappell,23,602,0,2,"3,567",NA
92,92,Bryce Molder,23,595,0,2,"3,574",NA
93,93,John Peterson,24,588,0,NA,"3,581",NA
94,94,Adam Scott,14,585,0,3,"3,584",NA
95,95,Adam Hadwin,29,584,0,3,"3,585",NA
96,96,Charl Schwartzel,18,584,0,3,"3,585",NA
97,97,John Huh,30,565,0,NA,"3,604",NA
98,98,Jason Gore,24,564,0,2,"3,605",NA
99,99,Francesco Molinari,16,558,0,2,"3,611",NA
100,100,Hudson Swafford,28,554,0,1,"3,615",NA
101,101,Johnson Wagner,21,551,0,3,"3,618",NA
102,102,Nick Taylor,27,549,1,1,"3,620",NA
103,103,Jason Dufner,19,546,0,2,"3,623",NA
104,104,Graham DeLaet,21,545,0,3,"3,624",NA
105,105,Jon Curran,27,540,0,5,"3,629",NA
106,106,Zac Blair,31,538,0,1,"3,631",NA
107,107,Steve Wheatcroft,27,536,0,2,"3,633",NA
108,108,Andres Gonzales,27,531,0,3,"3,638",NA
109,109,Chris Stroud,27,531,0,2,"3,638",NA
110,110,Lee Westwood,14,530,0,1,"3,639",NA
111,111,Retief Goosen,25,519,0,3,"3,650",NA
112,112,Carlos Ortiz,28,515,0,1,"3,654",NA
113,113,Chad Collins,23,504,0,1,"3,665",NA
114,114,Mark Wilson,26,497,0,3,"3,672",NA
115,115,Spencer Levin,29,496,0,1,"3,673",NA
116,116,Stewart Cink,22,494,0,1,"3,675",NA
117,117,Ken Duke,29,493,0,3,"3,676",NA
118,118,Vijay Singh,22,490,0,1,"3,679",NA
119,119,Luke Donald,18,484,0,2,"3,685",NA
120,120,Tim Clark,12,481,0,1,"3,688",NA
121,121,Jonas Blixt,25,471,0,1,"3,698",NA
122,122,Erik Compton,27,471,0,1,"3,698",NA
123,123,Camilo Villegas,25,467,0,NA,"3,702",NA
124,124,Ryo Ishikawa,27,458,0,2,"3,711",NA
125,125,Jeff Overton,29,458,0,1,"3,711",NA
126,126,Will MacKenzie,16,458,0,3,"3,711",NA
127,127,Scott Langley,28,448,0,NA,"3,721",NA
128,128,Brian Stuard,31,447,0,1,"3,722",NA
129,129,Scott Stallings,19,447,0,1,"3,722",NA
130,130,Jamie Donaldson,16,447,0,2,"3,722",NA
131,131,Nicholas Thompson,31,442,0,1,"3,727",NA
132,132,Tom Hoge,26,441,0,2,"3,728",NA
133,133,Alex Prugh,27,433,0,2,"3,736",NA
134,134,Seung-Yul Noh,21,432,0,1,"3,737",NA
135,135,Sung Joon Park,27,426,0,1,"3,743",NA
136,136,Billy Hurley III,28,420,0,1,"3,749",NA
137,137,Sam Saunders,28,413,0,1,"3,756",NA
138,138,Michael Putnam,28,407,0,NA,"3,762",NA
139,139,Martin Kaymer,13,406,0,1,"3,763",NA
140,140,Brice Garnett,29,398,0,1,"3,771",NA
141,141,Whee Kim,23,393,0,2,"3,776",NA
142,142,Tom Gillis,16,391,0,1,"3,778",NA
143,143,Brian Davis,31,387,0,2,"3,782",NA
144,144,David Toms,21,383,0,2,"3,786",NA
145,145,Blayne Barber,26,380,0,4,"3,789",NA
146,146,Michael Thompson,27,378,0,1,"3,791",NA
147,147,Lucas Glover,26,375,0,NA,"3,794",NA
148,148,Luke Guthrie,27,373,0,1,"3,796",NA
149,149,Charlie Beljan,27,369,0,1,"3,800",NA
150,150,Cameron Percy,23,361,0,1,"3,808",NA
151,151,Vaughn Taylor,12,361,0,2,"3,808",NA
152,152,K.J. Choi,19,358,0,NA,"3,811",NA
153,153,Jhonattan Vegas,27,353,0,NA,"3,816",NA
154,154,Geoff Ogilvy,15,350,0,1,"3,819",NA
155,155,Ricky Barnes,27,347,0,1,"3,822",NA
156,156,Martin Flores,30,345,0,NA,"3,824",NA
157,157,Aaron Baddeley,25,336,0,1,"3,833",NA
158,158,Jonathan Byrd,22,335,0,NA,"3,834",NA
159,159,Bo Van Pelt,28,322,0,2,"3,847",NA
160,160,Graeme McDowell,15,320,0,1,"3,849",NA
161,161,Andres Romero,24,312,0,2,"3,857",NA
162,162,John Merrick,27,311,0,NA,"3,858",NA
163,163,Max Homa,27,278,0,1,"3,891",NA
164,164,Mark Hubbard,25,274,0,NA,"3,895",NA
165,165,Gonzalo Fernandez-Castaño,28,272,0,NA,"3,897",NA
166,166,Chez Reavie,19,268,0,NA,"3,901",NA
167,167,Freddie Jacobson,14,268,0,1,"3,901",NA
168,168,Andrew Svoboda,30,266,0,1,"3,903",NA
169,169,Derek Fathauer,27,263,0,1,"3,906",NA
170,170,Derek Ernst,26,250,0,NA,"3,919",NA
171,171,D.A. Points,26,244,0,NA,"3,925",NA
172,172,Greg Chalmers,17,242,0,NA,"3,927",NA
173,173,Ernie Els,18,233,0,NA,"3,936",NA
174,174,Robert Garrigus,25,226,0,NA,"3,943",NA
175,175,Shane Lowry,13,222,1,3,"3,947",NA
176,176,Steve Stricker,9,218,0,NA,"3,951",NA
177,177,Steven Alker,22,216,0,NA,"3,953",NA
178,178,Tiger Woods,11,215,0,1,"3,954",NA
179,179,Jonathan Randolph,25,209,0,NA,"3,960",NA
180,180,Ángel Cabrera,19,208,0,NA,"3,961",NA
181,181,Kyle Stanley,12,200,0,NA,"3,969",NA
182,182,Andrew Putnam,23,192,0,NA,"3,977",NA
183,183,Justin Leonard,22,188,0,NA,"3,981",NA
184,184,Tim Wilkinson,28,183,0,NA,"3,986",NA
185,185,Ben Crane,22,182,0,NA,"3,987",NA
186,186,Oscar Fraustro,21,171,0,1,"3,998",NA
187,187,Robert Allenby,25,169,0,1,"4,000",NA
188,188,Roberto Castro,16,167,0,NA,"4,002",NA
189,189,Eric Axley,21,152,0,NA,"4,017",NA
190,190,Victor Dubuisson,10,145,0,NA,"4,024",NA
191,191,Tyrone Van Aswegen,20,142,0,NA,"4,027",NA
192,192,Rod Pampling,10,138,0,1,"4,031",NA
193,193,Chris Smith,9,128,0,1,"4,041",NA
194,194,Tim Petrovic,11,123,0,1,"4,046",NA
195,195,Ryan Armour,17,123,0,NA,"4,046",NA
196,196,John Rollins,14,121,0,1,"4,048",NA
197,197,Bill Lunde,18,117,0,NA,"4,052",NA
198,198,Andrew Loupe,15,112,0,1,"4,057",NA
199,199,Kenny Perry,9,105,0,NA,"4,064",NA
200,200,Roger Sloan,20,103,0,NA,"4,066",NA
201,201,Stuart Appleby,7,100,0,NA,"4,069",NA
202,202,Byron Smith,21,96,0,NA,"4,073",NA
203,203,Josh Teater,11,94,0,NA,"4,075",NA
204,204,Trevor Immelman,19,76,0,NA,"4,093",NA
205,205,Blake Adams,13,74,0,NA,"4,095",NA
206,206,Zack Sucher,18,70,0,NA,"4,099",NA
207,207,Fred Funk,2,66,0,1,"4,103",NA
208,208,Arjun Atwal,7,64,0,NA,"4,105",NA
209,209,Jarrod Lyle,10,63,0,NA,"4,106",NA
210,210,Jim Renner,27,63,0,NA,"4,106",NA
211,211,Heath Slocum,22,62,0,NA,"4,107",NA
212,212,Glen Day,8,61,0,NA,"4,108",NA
213,213,Carlos Sainz Jr,20,59,0,1,"4,110",NA
214,214,Steve Flesch,7,58,0,1,"4,111",NA
215,215,Tommy Gainey,9,57,0,NA,"4,112",NA
216,216,John Daly,10,57,0,1,"4,112",NA
217,217,Mark Hensby,2,53,0,1,"4,116",NA
218,218,Ben Curtis,14,51,0,NA,"4,118",NA
219,219,Troy Kelly,9,50,0,NA,"4,119",NA
220,220,Y.E. Yang,4,49,0,NA,"4,120",NA
221,221,Mike Weir,18,48,0,NA,"4,121",NA
222,222,Matt Bettencourt,8,48,0,NA,"4,121",NA
223,223,Mark O'Meara,2,47,0,NA,"4,122",NA
224,224,Charlie Wi,9,44,0,NA,"4,125",NA
225,225,Troy Matteson,9,43,0,NA,"4,126",NA
226,226,Kevin Stadler,5,41,0,NA,"4,128",NA
227,227,Justin Hicks,14,41,0,NA,"4,128",NA
228,228,Cameron Beckman,8,40,0,NA,"4,129",NA
229,229,Joe Affrunti,4,39,0,NA,"4,130",NA
230,230,Dicky Pride,5,31,0,NA,"4,138",NA
231,231,David Duval,6,31,0,NA,"4,138",NA
232,232,D.J. Trahan,5,31,0,NA,"4,138",NA
233,233,Richard Sterne,18,29,0,NA,"4,140",NA
T234,T234,Woody Austin,11,29,0,NA,"4,140",NA
T234,T234,Lee Janzen,4,29,0,NA,"4,140",NA
236,236,Billy Mayfair,6,26,0,NA,"4,143",NA
237,237,Benjamín Alvarado,8,26,0,NA,"4,143",NA
T238,T238,Duffy Waldorf,2,25,0,NA,"4,144",NA
T238,T238,Shaun Micheel,5,25,0,NA,"4,144",NA
T240,T240,Dudley Hart,8,22,0,NA,"4,147",NA
T240,T240,Michael Bradley,4,22,0,NA,"4,147",NA
242,242,Scott Verplank,13,21,0,NA,"4,148",NA
243,243,Daniel Chopra,5,17,0,NA,"4,152",NA
244,244,Stephen Ames,1,13,0,NA,"4,156",NA
T245,T245,Chris Riley,2,13,0,NA,"4,156",NA
T245,T245,Kent Jones,2,13,0,NA,"4,156",NA
247,247,Harrison Frazar,7,12,0,NA,"4,157",NA
248,248,Garrett Willis,1,12,0,NA,"4,157",NA
249,249,Scott McCarron,7,9,0,NA,"4,160",NA
250,250,Parker McLachlin,2,7,0,NA,"4,162",NA
251,251,Len Mattiace,6,5,0,NA,"4,164",NA
252,252,Guy Boros,2,4,0,NA,"4,165",NA
253,253,Ted Purdy,3,4,0,NA,"4,165",NA
254,254,Brandt Jobe,6,2,0,NA,"4,167",NA
255,255,Tom Watson,3,1,0,NA,"4,168",NA
256,256,Tim Herron,7,1,0,NA,"4,168",NA
T257,T257,Steve Lowery,3,1,0,NA,"4,168",NA
T257,T257,Patrick Cantlay,1,1,0,NA,"4,168",NA
259,259,Bernhard Langer,3,1,0,NA,"4,168",NA
